max_length,bleu_score,dataset
32,Running experiment with max_length=32...
71.18957849899746,trec-covid
28,Running experiment with max_length=28...
69.3630112115861,trec-covid
24,Running experiment with max_length=24...
68.93328768486657,trec-covid
20,Running experiment with max_length=20...
70.39648246447321,trec-covid
16,Running experiment with max_length=16...
71.35160224280119,trec-covid
12,Running experiment with max_length=12...
69.47016376155723,trec-covid
8,Running experiment with max_length=8...
45.902092250106385,trec-covid
36,Running experiment with max_length=36...
52.60138391408054,trec-covid
40,Running experiment with max_length=40...
36.47868096036386,trec-covid
44,Running experiment with max_length=44...
26.74742117343955,trec-covid
48,Running experiment with max_length=48...
18.989393442958523,trec-covid
52,Running experiment with max_length=52...
14.137237239461149,trec-covid
